class	num_samples
×	20
‖	20
▲	312
、	40
。	40
〇	40
あ	40
い	40
う	40
え	40
お	40
か	40
が	40
き	40
ぎ	40
く	40
ぐ	40
け	40
げ	40
こ	40
ご	40
さ	40
ざ	40
し	40
じ	40
す	40
ず	40
せ	40
ぜ	40
そ	40
ぞ	40
た	40
だ	40
ち	40
ぢ	40
つ	40
づ	40
て	40
で	40
と	40
ど	40
な	40
に	40
ぬ	40
ね	40
の	40
は	40
ば	40
ぱ	20
ひ	40
び	40
ぴ	20
ふ	40
ぶ	40
ぷ	20
へ	40
べ	40
ぺ	20
ほ	40
ぼ	40
ぽ	20
ま	40
み	40
む	40
め	40
も	40
や	40
ゆ	40
よ	40
ら	40
り	40
る	40
れ	40
ろ	40
わ	40
を	40
ん	40
ア	12
イ	12
ウ	12
エ	12
オ	12
カ	12
ガ	20
キ	12
ギ	20
ク	12
グ	20
ケ	12
ゲ	20
コ	12
ゴ	20
サ	12
ザ	20
シ	12
ジ	20
ス	12
ズ	20
セ	12
ゼ	20
ソ	12
ゾ	20
タ	12
ダ	20
チ	12
ヂ	20
ツ	12
ヅ	20
テ	12
デ	20
ト	12
ド	20
ナ	12
ニ	12
ヌ	12
ネ	12
ノ	12
ハ	12
バ	20
パ	20
ヒ	12
ビ	20
ピ	20
フ	12
ブ	20
プ	20
ヘ	12
ベ	20
ペ	20
ホ	12
ボ	20
ポ	20
マ	12
ミ	12
ム	12
メ	12
モ	12
ヤ	12
ユ	12
ヨ	12
ラ	12
リ	12
ル	12
レ	12
ロ	12
ワ	12
ヲ	12
ン	12
・	12
一	40
丁	40
七	40
万	40
丈	12
三	40
上	40
下	40
不	40
与	12
世	40
丘	20
丙	20
両	40
並	12
中	40
串	20
丸	12
丹	20
主	40
乃	20
久	40
之	20
乏	20
乗	12
乙	20
九	40
也	20
乱	20
乳	12
乾	20
亀	20
了	12
予	40
争	40
事	40
二	40
互	20
五	40
井	40
亜	20
亡	20
交	40
享	20
京	40
亭	20
人	40
仁	20
今	40
介	20
仏	12
仕	12
他	12
付	40
仙	20
代	40
令	12
以	20
仮	12
仰	12
仲	12
件	40
任	40
企	12
伊	12
伎	20
伏	20
伐	20
休	40
会	40
伝	40
伯	12
伴	12
伸	20
伺	20
似	12
位	40
低	12
住	40
佐	40
体	40
何	40
余	12
作	40
佳	20
併	12
使	40
例	12
供	40
依	12
価	40
侮	12
侵	12
便	40
係	40
促	12
俊	20
俗	12
保	40
信	40
俣	20
修	12
俳	20
俵	12
俸	12
倉	12
個	12
倍	12
倒	12
候	12
借	12
値	40
倶	20
倹	20
偉	12
偏	20
停	12
健	12
側	12
偵	20
偶	20
偽	20
傍	20
傑	20
備	40
催	40
債	12
傷	12
傾	12
僂	20
働	40
像	12
僕	20
僚	20
僧	20
儀	12
億	40
償	12
優	40
元	12
兄	12
充	12
兆	20
先	40
光	40
克	20
免	12
児	40
党	40
入	40
全	40
八	40
公	40
六	40
共	40
兵	12
具	12
典	20
兼	12
内	40
円	40
冊	20
再	12
冒	20
